date_added,latrine_site,month_year,segment_id,fragment_id,vehicle_access,fragment_type,fragment_description,fragment_weight,notes
4/26/23,GCBB,Sep2021,GCBB_S1_12Sep2021,GCBB_S1_12Sep2021_F2,,Plant,plant_material,1.195,seeds
6/26/23,GCBH,Sep2021,GCBH_S3_12Sep2021,GCBH_S3_12Sep2021_F1,,Plant,plant_material,0.05,n/a
6/26/23,GCBAR,Jun2021,GCBAR_S4_02Jun2021,GCBAR_S4_02Jun2021_F2,,Plant,plant_material,0.069,seeds
6/26/23,GCBAC,Sep2021,GCBAC_S10_12Sep2021,GCBAC_S10_12Sep2021_F3,,Plant,plant_material,0.001,n/a
7/24/23,GCBH,Jun2021,GCBH_S10_05Jun2021,GCBH_S10_05Jun2021_F2,,Plant,plant_material,0.005,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S2_14Sep2021,GCETRO_S2_14Sep2021_F1,,Plant,plant_material,0.027,n/a
7/24/23,GCWP,Jun2021,GCWP_S2_05Jun2021,GCWP_S2_05Jun2021_F4,,Plant,plant_material,0.002,n/a
7/24/23,GCBH,Jun2021,GCBH_S4_05Jun2021,GCBH_S4_05Jun2021_F2,,Plant,plant_material,0.719,seeds
7/24/23,GCWP,Jun2021,GCWP_S3_05Jun2021,GCWP_S3_05Jun2021_F1,,Plant,plant_material,0.224,seeds
7/24/23,GCJH,May2021,GCJH_S2_06May2021,GCJH_S2_06May2021_F2,,Plant,plant_material,0.089,seeds
7/24/23,GCBAC,Sep2021,GCBAC_S1_12Sep2021,GCBAC_S1_12Sep2021_F1,,Plant,plant_material,1.024,seed casings
7/24/23,GCTC,Sep2021,GCTC_S1_13Sep2021,GCTC_S1_13Sep2021_F1,,Plant,plant_material,2.861,seeds and casings
7/24/23,GCBAC,Sep2021,GCBAC_S2_12Sep2021,GCBAC_S2_12Sep2021_F1,,Plant,plant_material,1.411,seeds
7/24/23,GCBH,Jun2021,GCBH_S5_05Jun2021,GCBH_S5_05Jun2021_F3,,Plant,plant_material,0.034,n/a
7/24/23,GCBAC,Sep2021,GCBAC_S9_12Sep2021,GCBAC_S9_12Sep2021_F2,,Plant,plant_material,0.361,seeds and casings
7/24/23,GCBH,Jun2021,GCBH_S7_05Jun2021,GCBH_S7_05Jun2021_F3,,Plant,plant_material,0.044,seeds and casings
7/24/23,GCETRO,Sep2021,GCETRO_S3_14Sep2021,GCETRO_S3_14Sep2021_F1,,Plant,plant_material,0.03,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F3,,Invertebrate,plant_material,0.002,n/a
7/24/23,GCETRO,Sep2021,GCETRO_S7_14Sep2021,GCETRO_S7_14Sep2021_F2,,Plant,plant_material,0.084,n/a
7/24/23,GCETRO,Jun2021,GCETRO_S8_02Jun2021,GCETRO_S8_02Jun2021_F4,,Plant,plant_material,0.027,rocks?
7/13/23,GCETRO,Dec2021,GCETRO_S3_16Jun2021,GCETRO_S3_16Jun2021_F1,yes,Plastic,plastic,0.257,plastic
7/13/23,GCTL,Sep2021,GCTL_S4_14Sep2021,GCTL_S4_14Sep2021_F1,yes,Plastic,plastic,0.336,plastic
7/13/23,GCETRO,Dec2021,GCETRO_S7_06Dec2021,GCETRO_S7_06Dec2021_F1,yes,Plastic,plastic,0.078,plastic
